0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:52:05 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:52:12 +0900] "GET /minesweeper/index.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:52:13 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:52:15 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:53:57 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 3920
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:53:57 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:53:57 +0900] "GET /minesweeper/index.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:53:58 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:53:58 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 3920
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:53:59 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:54:00 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 3920
